Source file,Source sheet,Source row (Excel),Funding economy,Year,economy_code,Recipient country or region,"Title of the project programme, activity or other",Value (USD),Value (USD) notes,Status,Channel,Funding source,Financial instrument,Type of support,Sector,Subsector,Contribution to capacity building objectives,Contribution to technology development and transfer objectives,Additional information,Sector_text1,Sector_text2,Sector_text3,Sector_text4,Sector_text5,Subsector_text1,Subsector_text2,Subsector_text3,Subsector_text4,Subsector_text5
SWE-CTF-FTC-2024 SWEDEN.xlsx,Table1_2021,596,SWEDEN,2021,SWE,Somalia,Forum Syd Programme in Somalia 2014-2020 - Forum Syd Programme in Somalia strategy 2017-2022,-11362.5529,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Cross-cutting,Other (Government and civil society),"15190   Facilitation of orderly, safe, regular and responsible migration and mobility",UA,UA,SE-0-SE-6-5127000002-SOM-15190,Other (Government and civil society),,,,,"Facilitation of orderly, safe, regular and responsible migration and mobility",,,,
SWE-CTF-FTC-2024 SWEDEN.xlsx,Table1_2022,796,SWEDEN,2022,SWE,India,Forum Syd Programme in Somalia 2014-2020 - Forum Syd Programme in Somalia strategy 2017-2022,-9464.159007,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Cross-cutting,Other (Government and civil society),"15190  Facilitation of orderly, safe, regular and responsible migration and mobility",UA,UA,SE-0-SE-6-5127000002-SOM-15190,Other (Government and civil society),,,,,"Facilitation of orderly, safe, regular and responsible migration and mobility",,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2021,116,UK,2021,GBR,Tanzania,204369 Corridors for Growth,0.009078404,"Value too small, please check original document for unit",Committed,Multi-Bilateral,ODA,Grant,Mitigation,Transport,Transport policy and administrative management,0,0,"To increase Tanzania’s infrastructure for trade in three ways (i) Co-financing the Dar Port expansion together with the World Bank and Tanzania Port Authority will double port capacity and enable Tanzania’s entire trade volume to increase by two thirds. (ii) Project preparation funding for six more major regional transport projects are expected to catalyse up to £600m of development finance incorporating climate resilent design. (iii) Launching a new approach to Public-Private Partnerships will improve infrastructure in municipal areas and build capacity for larger PPP’s in the future.The programme is expected to reduce the costs of doing business in Tanzania, contributing to growth, more jobs and lower poverty. The short-term beneficiaries will be users such as traders, logistics providers and public citizens. International business including from the UK will benefit from better access to trade.In the medium to long run employment is expected to increase from indirect effects.",Transport,,,,,Transport policy and administrative management,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2021,115,UK,2021,GBR,Tanzania,204369 Corridors for Growth,0.018431912,"Value too small, please check original document for unit",Committed,Multi-Bilateral,ODA,Grant,Adaptation,Transport,Transport policy and administrative management,0,0,"To increase Tanzania’s infrastructure for trade in three ways (i) Co-financing the Dar Port expansion together with the World Bank and Tanzania Port Authority will double port capacity and enable Tanzania’s entire trade volume to increase by two thirds. (ii) Project preparation funding for six more major regional transport projects are expected to catalyse up to £600m of development finance incorporating climate resilent design. (iii) Launching a new approach to Public-Private Partnerships will improve infrastructure in municipal areas and build capacity for larger PPP’s in the future.The programme is expected to reduce the costs of doing business in Tanzania, contributing to growth, more jobs and lower poverty. The short-term beneficiaries will be users such as traders, logistics providers and public citizens. International business including from the UK will benefit from better access to trade.In the medium to long run employment is expected to increase from indirect effects.",Transport,,,,,Transport policy and administrative management,,,,
USA_Support CTF_Dec19 USA.xlsx,Table 1_2021,63,USA,2021,USA,Global,"2021, LASER - Avoid the TRAP: Multi-sector collaboration between health, education and environment to minimize
the impact of traffic-related air pollution (TRAP) on children in Ho Chi Minh City, Vietnam,
2021-2022, Adaptation - Climate Specific",0.134,"Value too small, please check original document for unit",Committed,Multi-Bilateral,ODA,Grant,Adaptation,Other,NR,NR,,,Other,,,,,NR,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2021,85,UK,2021,GBR,Nepal,203186 Rural Access Programme 3,0.146744154,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,Road transport,0,0,"To improve road access for 800,000 members of rural communities in the Western Region of Nepal, thereby improving economic opportunities and increasing access to markets and social services throughout the year. The project will lift 20,000 people out of poverty through access to work, skill trainings, and will promote equal opportunities for women. The project aims to contribute towards sustainable poverty reduction through investments in high value crops and will lay the foundations for private sector led development in the poorest region in the country. Climate variability and climate change are integrated in building new roads and maintaining existing roads through the programme.",Transport,,,,,Road transport,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2022,172,UK,2022,GBR,Yemen,"300417 - Yemen: Access, Logistics, Liaison, and Accountability (YALLA) - 2017-20",0.160665425,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Emergency Response,Cross-cutting,0,0,"To provide rapid, specialist, expertise and transportation for the UN to enable a more effective and better coordinated response to the humanitarian crisis in Yemen from 2017 onwards",Emergency Response,,,,,Cross-cutting,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2021,118,UK,2021,GBR,Rwanda,204495 Support to Trademark East Africa Rwanda (TMEA) Rwanda Country Programme - Strategy II,0.255077854,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,Transport policy and administrative management,0,0,The UK will provide up to £25m (2017 – 2023) to support TMEA's Strategy 2 (S2)  which aims to remove trade-related barriers to inclusive growth in Rwanda and the East African Community (EAC).,Transport,,,,,Transport policy and administrative management,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2022,87,UK,2022,GBR,Rwanda,204495 - Support to Trademark East Africa Rwanda (TMEA) Rwanda Country Programme - Strategy II,0.316648963,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,Transport policy and administrative management,0,0,The UK will provide up to £25m (2017 – 2023) to support TMEA's Strategy 2 (S2)  which aims to remove trade-related barriers to inclusive growth in Rwanda and the East African Community (EAC).,Transport,,,,,Transport policy and administrative management,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2021,119,UK,2021,GBR,Rwanda,204495 Support to Trademark East Africa Rwanda (TMEA) Rwanda Country Programme - Strategy II,0.382616781,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Mitigation,Transport,Transport policy and administrative management,0,0,The UK will provide up to £25m (2017 – 2023) to support TMEA's Strategy 2 (S2)  which aims to remove trade-related barriers to inclusive growth in Rwanda and the East African Community (EAC).,Transport,,,,,Transport policy and administrative management,,,,
